Sector,Year,Industry,Industry price change %,Max increase ticker (increase %),Max volume ticker (volume)
MISCELLANEOUS,2006,BUSINESS SERVICES,23.98,WP (200.0),EBAY (10079948800)
MISCELLANEOUS,2014,PUBLISHING,23.6,LABL (50.35),RRD (473140900)
MISCELLANEOUS,2016,OTHER CONSUMER SERVICES,23.35,CRAI (91.12),SFLY (102667400)
MISCELLANEOUS,2005,PUBLISHING,22.27,LABL (58.84),RRD (220641000)
MISCELLANEOUS,2017,OTHER CONSUMER SERVICES,22.02,BFAM (35.88),SFLY (146642300)
MISCELLANEOUS,2006,PUBLISHING,21.92,CMPR (43.4),RRD (252341900)
MISCELLANEOUS,1991,PUBLISHING,21.86,RRD (26.18),RRD (54872800)
MISCELLANEOUS,2003,OFFICE EQUIPMENT/SUPPLIES/SERVICES,21.76,NCR (57.47),NCR (346537600)
MISCELLANEOUS,1993,OFFICE EQUIPMENT/SUPPLIES/SERVICES,20.91,DBD (49.69),PBI (122238800)
MISCELLANEOUS,1997,PUBLISHING,20.32,RRD (21.14),RRD (80814100)
MISCELLANEOUS,1998,INDUSTRIAL MACHINERY/COMPONENTS,19.86,SPB (81.48),HRG (103854400)
MISCELLANEOUS,1997,OFFICE EQUIPMENT/SUPPLIES/SERVICES,19.61,PBI (61.69),NCR (319387600)
MISCELLANEOUS,2012,BUSINESS SERVICES,19.04,WP (20320.0),EBAY (6774041300)
MISCELLANEOUS,2007,INDUSTRIAL MACHINERY/COMPONENTS,18.87,IMAX (85.83),ENR (118611900)
MISCELLANEOUS,2007,MULTI-SECTOR COMPANIES,18.79,APPS (157.14),TIVO (231981500)
MISCELLANEOUS,2010,BUSINESS SERVICES,18.12,BSQR (247.22),EBAY (9748440400)
MISCELLANEOUS,1991,MULTI-SECTOR COMPANIES,17.74,ITUS (113.33),IDCC (36805800)
